,Gender,Age,Education Level,Preferred Subjects,Least preferred Subjects,Hours per week for school,Educational Level parent_1,Educational Level parent_2,CRT_points,Use AI school and freetime,Used AI,Frequency of use education,Frequency of use everyday life,Use of AI in freetime,Usefullness AI,Deal with AI,Understanding AI,Internet terms_Spyware,Internet terms_Cache,Internet terms_Advanced Search,Internet terms_PDF,Internet terms_Phishing,Internet terms_Wiki,True/False_1,True/False_2,True/False_3,True/False_4,True/False_5,True/False_6,Reliability AI,Concerns AI,Teachers preparing lessons,Teachers giving grades,Mates using AI,Allowance to use AI,Frequency use of AI_school,Most used subjects,Purposes to use AI,Reasons to use AI,Help of AI,True_False_Score,Internet_Understanding_Score,Internet Understanding (Grouped),gender_Keine Angabe,gender_Männlich,gender_Weiblich,privacy_Ich habe darüber noch nie nachgedacht.,privacy_Ja,privacy_Nein
31,Männlich,13,Sek A,"Wirtschaft und Recht, Informatik, Kochen","Deutsch, Französisch, Geschichte",0-1 Stunde pro Woche,Abschluss an einer Universität oder ETH,Abschluss an einer Universität / ETH,2,2,ChatGPT,Nie,Selten,Verständnisfragen über Wissen im Alltag,Ziemlich nützlich,Schlecht,Eher wenig,Kein Verständnis,Kein Verständnis,Schlechtes Verständnis,Mittelmässiges Verständnis,Kein Verständnis,Schlechtes Verständnis,Falsch,Wahr,Falsch,Falsch,Wahr,Falsch,4,Ich habe darüber noch nie nachgedacht.,Neutral / Mir egal,Stört mich ein wenig,Oft,Nur wenn die Lehrperson es ausdrücklich erlaubt,Selten,Deutsch,Erklärungen,,4.0,5,10,Kein Verständnis,False,True,False,True,False,False
32,Weiblich,14,Sek A,"Zeichnen / Kunst, Kochen","Mathematik / Geometrie, Englisch, Französisch",2-5 Stunden pro Woche,Ich weiss es nicht,Ich weiss es nicht,0,4,"ChatGPT,Meta AI (Whatsapp)",Manchmal,Selten,Verständnisfragen über Wissen im Alltag,Teils/teils,Weder gut noch schlecht,Weder gut noch schlecht,Kein Verständnis,Kein Verständnis,Kein Verständnis,Kein Verständnis,Kein Verständnis,Mittelmässiges Verständnis,Ich weiss es nicht,Ich weiss es nicht,Falsch,Wahr,Ich weiss es nicht,Ich weiss es nicht,3,Ja,Neutral / Mir egal,Stört mich sehr,Oft,Nur wenn die Lehrperson es ausdrücklich erlaubt,Manchmal,"Mathematik, Französisch","Erklärungen,Lerntechniken / Tipps wie man lernt,Grammatik / Rechtschreibung","Zeitersparnis,weniger Stress,Für Fragen die ich nicht im Klassenraum stellen wollte",4.0,1,8,Kein Verständnis,False,False,True,False,True,False
33,Weiblich,13,Sek A,"Kochen, Sport, Musik","Mathematik / Geometrie, Chemie, Geschichte",2-5 Stunden pro Woche,Ich weiss es nicht,Ich weiss es nicht,0,3,ChatGPT,Manchmal,Selten,,Ziemlich nützlich,Weder gut noch schlecht,Weder gut noch schlecht,Kein Verständnis,Kein Verständnis,Kein Verständnis,Kein Verständnis,Kein Verständnis,Kein Verständnis,Falsch,Wahr,Ich weiss es nicht,Ich verstehe die Frage nicht,Ich weiss es nicht,Ich weiss es nicht,4,Ich habe darüber noch nie nachgedacht.,Neutral / Mir egal,Neutral / Mir egal,Manchmal,"Ja, für beides",Manchmal,"Geschichte, Mathematik, Französisch","Zusammenfassungen,Erklärungen,Lerntechniken / Tipps wie man lernt",Als Prüfungsvorbereitung,4.0,1,6,Kein Verständnis,False,False,True,True,False,False
34,Keine Angabe,14,Sek A,"Englisch, Kochen, Sport","Mathematik / Geometrie, Deutsch, Französisch",2-5 Stunden pro Woche,Abschluss eines Doktorat / Professur,Abschluss eines Doktorat / Professur,1,3,ChatGPT,Manchmal,Sehr oft,"Verständnisfragen über Wissen im Alltag,Private Fragen zu persönlichen Themen",Ziemlich nützlich,Eher gut,Eher gut,Schlechtes Verständnis,Schlechtes Verständnis,Gutes Verständnis,Gutes Verständnis,Mittelmässiges Verständnis,Völliges Verständnis,Falsch,Falsch,Falsch,Falsch,Wahr,Falsch,2,Ja,Stört mich ein wenig,Stört mich sehr,Oft,Nur wenn die Lehrperson es ausdrücklich erlaubt,Manchmal,"Französisch, Geografie, Physik","Zusammenfassungen,Erklärungen,Grammatik / Rechtschreibung","Zeitersparnis,weniger Stress,Als Prüfungsvorbereitung",2.0,6,20,Mittelmässiges Verständnis,True,False,False,False,True,False
35,Weiblich,13,Sek A,"Englisch, Biologie, Musik",Geografie,2-5 Stunden pro Woche,Ich weiss es nicht,Ich weiss es nicht,0,2,"ChatGPT,Gemini (Google)",Manchmal,Selten,Verständnisfragen über Wissen im Alltag,Teils/teils,Weder gut noch schlecht,Eher wenig,Kein Verständnis,Kein Verständnis,Schlechtes Verständnis,Schlechtes Verständnis,Kein Verständnis,Schlechtes Verständnis,Wahr,Ich weiss es nicht,Falsch,Wahr,Ich weiss es nicht,Ich weiss es nicht,3,Ja,Neutral / Mir egal,Stört mich ein wenig,Manchmal,Nur wenn die Lehrperson es ausdrücklich erlaubt,Selten,Deutsch,"Erklärungen,Grammatik / Rechtschreibung",Als Prüfungsvorbereitung,3.0,1,9,Kein Verständnis,False,False,True,False,True,False
36,Weiblich,13,Sek A,"Englisch, Zeichnen / Kunst, Musik","Mathematik / Geometrie, Französisch, Geografie",0-1 Stunde pro Woche,Ich weiss es nicht,Ich weiss es nicht,1,5,"Character.ai,Chai AI",Nie,Sehr oft,"Private Fragen zu persönlichen Themen,Kreativität",Sehr nützlich,Sehr gut,Weder gut noch schlecht,Kein Verständnis,Gutes Verständnis,Schlechtes Verständnis,Schlechtes Verständnis,Kein Verständnis,Mittelmässiges Verständnis,Wahr,Ich weiss es nicht,Falsch,Falsch,Ich verstehe die Frage nicht,Ich weiss es nicht,5,Nein,Neutral / Mir egal,Stört mich sehr,Manchmal,"Nein, weder für die Schule noch für die Hausaufgaben",Nie,,,,,2,13,Schlechtes Verständnis,False,False,True,False,False,True
37,Weiblich,13,Sek A,Sport,"Deutsch, Englisch, Geschichte",0-1 Stunde pro Woche,Ich weiss es nicht,Ich weiss es nicht,1,3,"ChatGPT,My AI (Snapchat)",Sehr oft,Selten,Verständnisfragen über Wissen im Alltag,Sehr nützlich,Sehr gut,Weder gut noch schlecht,Kein Verständnis,Kein Verständnis,Kein Verständnis,Völliges Verständnis,Kein Verständnis,Kein Verständnis,Ich verstehe die Frage nicht,Wahr,Ich weiss es nicht,Ich weiss es nicht,Ich weiss es nicht,Ich weiss es nicht,3,Nein,Neutral / Mir egal,Stört mich sehr,Manchmal,Nur wenn die Lehrperson es ausdrücklich erlaubt,Manchmal,"Geografie, Geschichte",Erklärungen,,5.0,0,10,Kein Verständnis,False,False,True,False,False,True
38,Männlich,13,Sek A,"Mathematik / Geometrie, Englisch, Sport","Französisch, Geschichte, Kochen",Mehr als 5 Stunden pro Woche,Ich weiss es nicht,Ich weiss es nicht,0,3,ChatGPT,Manchmal,Selten,Verständnisfragen über Wissen im Alltag,Ziemlich nützlich,Eher gut,Weder gut noch schlecht,Schlechtes Verständnis,Kein Verständnis,Kein Verständnis,Gutes Verständnis,Kein Verständnis,Kein Verständnis,Falsch,Ich verstehe die Frage nicht,Ich weiss es nicht,Ich weiss es nicht,Ich verstehe die Frage nicht,Ich verstehe die Frage nicht,3,Nein,Neutral / Mir egal,Stört mich ein wenig,Oft,"Ja, für beides",Manchmal,Musik,"Zusammenfassungen,Schreiben von Texten","Zeitersparnis,weniger Stress",3.0,1,10,Kein Verständnis,False,True,False,False,False,True
39,Männlich,14,Sek A,"Geografie, Zeichnen / Kunst, Sport","Mathematik / Geometrie, Deutsch, Französisch",0-1 Stunde pro Woche,Abschluss an einer Fachhochschule / Hochschule,Abschluss an einer Universität / ETH,0,3,ChatGPT,Oft,Nie,,Ziemlich nützlich,Sehr gut,Weder gut noch schlecht,Kein Verständnis,Kein Verständnis,Kein Verständnis,Kein Verständnis,Kein Verständnis,Schlechtes Verständnis,Ich verstehe die Frage nicht,Wahr,Ich weiss es nicht,Wahr,Ich verstehe die Frage nicht,Falsch,4,Ich habe darüber noch nie nachgedacht.,Finde ich gut,Stört mich ein wenig,Oft,"Ja, für beides",Selten,"Mathematik, Deutsch",Erklärungen,"Zeitersparnis,weniger Stress,Als Prüfungsvorbereitung,Bessere Erklärungen als von den Lehrern",5.0,1,7,Kein Verständnis,False,True,False,True,False,False
40,Weiblich,13,Sek A,"Französisch, Kochen, Sport",Mathematik / Geometrie,2-5 Stunden pro Woche,Ich weiss es nicht,Ich weiss es nicht,0,2,ChatGPT,Selten,Manchmal,Verständnisfragen über Wissen im Alltag,Ziemlich nützlich,Sehr gut,Gar nicht,Kein Verständnis,Kein Verständnis,Kein Verständnis,Kein Verständnis,Kein Verständnis,Kein Verständnis,Wahr,Ich weiss es nicht,Ich weiss es nicht,Ich weiss es nicht,Ich weiss es nicht,Ich weiss es nicht,3,Ich habe darüber noch nie nachgedacht.,Neutral / Mir egal,Neutral / Mir egal,Selten,Nur wenn die Lehrperson es ausdrücklich erlaubt,Selten,Kochen,Erklärungen,Als Prüfungsvorbereitung,4.0,0,6,Kein Verständnis,False,False,True,True,False,False
41,Weiblich,13,Sek A,"Zeichnen / Kunst, Kochen, Sport","Religion und Kultur, Französisch, Mathematik / Geometrie",2-5 Stunden pro Woche,Abschluss an einer Universität oder ETH,Abschluss an einer Universität / ETH,0,3,"ChatGPT,Gemini (Google)",Selten,Manchmal,"Verständnisfragen über Wissen im Alltag,Ernährung,Übersetzungen",Teils/teils,Eher gut,Weder gut noch schlecht,Kein Verständnis,Kein Verständnis,Kein Verständnis,Gutes Verständnis,Kein Verständnis,Kein Verständnis,Falsch,Ich weiss es nicht,Ich weiss es nicht,Falsch,Ich weiss es nicht,Falsch,3,Ich habe darüber noch nie nachgedacht.,Stört mich ein wenig,Stört mich sehr,Manchmal,Nur wenn die Lehrperson es ausdrücklich erlaubt,Selten,"Mathematik, Französisch, Englisch","Zusammenfassungen,Erklärungen,Lerntechniken / Tipps wie man lernt,Vorbereiten von Vorträgen,Grammatik / Rechtschreibung",Als Prüfungsvorbereitung,3.0,3,9,Kein Verständnis,False,False,True,True,False,False
42,Männlich,13,Sek A,"Chemie, Musik, Informatik",Geschichte,2-5 Stunden pro Woche,Ich weiss es nicht,Ich weiss es nicht,1,4,"ChatGPT,Microsoft Copilot,Meta AI (Whatsapp),Gamma AI",Manchmal,Oft,"Erstellen von Bildern / Videos,Verständnisfragen über Wissen im Alltag,Private Fragen zu persönlichen Themen",Ziemlich nützlich,Sehr gut,Sehr gut,Mittelmässiges Verständnis,Schlechtes Verständnis,Gutes Verständnis,Völliges Verständnis,Mittelmässiges Verständnis,Völliges Verständnis,Falsch,Falsch,Falsch,Wahr,Ich verstehe die Frage nicht,Falsch,4,Nein,Finde ich sehr gut,Neutral / Mir egal,Manchmal,Nur wenn die Lehrperson es ausdrücklich erlaubt,Häufig,"Geografie, Informatik","Zusammenfassungen,Erklärungen,Ideenfindung / Kreative Ideen,Lerntechniken / Tipps wie man lernt,Vorbereiten von Vorträgen,Grammatik / Rechtschreibung,Programmierung","Zeitersparnis,Als Prüfungsvorbereitung,Für Fragen die ich nicht im Klassenraum stellen wollte",4.0,4,22,Gutes Verständnis,False,True,False,False,False,True
43,Männlich,13,Sek A,"Mathematik / Geometrie, Kochen, Sport","Französisch, Biologie, Informatik",0-1 Stunde pro Woche,Abschluss an einer Fachhochschule / Hochschule,Abschluss an einer Universität / ETH,1,2,ChatGPT,Selten,Selten,Verständnisfragen über Wissen im Alltag,Teils/teils,Weder gut noch schlecht,Weder gut noch schlecht,Kein Verständnis,Kein Verständnis,Kein Verständnis,Mittelmässiges Verständnis,Kein Verständnis,Kein Verständnis,Falsch,Ich weiss es nicht,Wahr,Wahr,Ich verstehe die Frage nicht,Falsch,3,Nein,Stört mich ein wenig,Neutral / Mir egal,Manchmal,Nur wenn die Lehrperson es ausdrücklich erlaubt,Selten,"Biologie, Chemie, Musik","Zusammenfassungen,Erklärungen",Für Fragen die ich nicht im Klassenraum stellen wollte,3.0,2,8,Kein Verständnis,False,True,False,False,False,True
44,Weiblich,13,Sek A,"Biologie, Kochen, Musik","Englisch, Geografie, Religion und Kultur",0-1 Stunde pro Woche,Abschluss an einer Universität oder ETH,Abschluss an einer Universität / ETH,0,3,ChatGPT,Oft,Manchmal,Verständnisfragen über Wissen im Alltag,Teils/teils,Weder gut noch schlecht,Eher wenig,Kein Verständnis,Kein Verständnis,Kein Verständnis,Schlechtes Verständnis,Mittelmässiges Verständnis,Gutes Verständnis,Falsch,Falsch,Falsch,Falsch,Wahr,Falsch,2,Ja,Neutral / Mir egal,Stört mich sehr,Manchmal,Nur wenn die Lehrperson es ausdrücklich erlaubt,Häufig,"Geografie, Chemie, Geschichte","Zusammenfassungen,Lerntechniken / Tipps wie man lernt,Erstellen von Übungen","Zeitersparnis,Als Prüfungsvorbereitung",3.0,6,12,Schlechtes Verständnis,False,False,True,False,True,False
45,Weiblich,14,Sek A,"Deutsch, Englisch, Kochen","Mathematik / Geometrie, Französisch, Biologie",2-5 Stunden pro Woche,Abschluss an einer Fachhochschule / Hochschule,Abschluss an einer Hochschule / Fachhochschule,2,2,"ChatGPT,Meta AI (Whatsapp)",Selten,Manchmal,"Erstellen von Bildern / Videos,Verständnisfragen über Wissen im Alltag",Ziemlich nützlich,Eher gut,Eher gut,Kein Verständnis,Kein Verständnis,Kein Verständnis,Völliges Verständnis,Völliges Verständnis,Schlechtes Verständnis,Falsch,Falsch,Falsch,Falsch,Wahr,Falsch,3,Ich habe darüber noch nie nachgedacht.,Finde ich gut,Neutral / Mir egal,Manchmal,"Ja, für beides",Selten,"Deutsch, Französisch","Zusammenfassungen,Erklärungen,Ideenfindung / Kreative Ideen,Lerntechniken / Tipps wie man lernt,Vorbereiten von Vorträgen,Grammatik / Rechtschreibung","Als Prüfungsvorbereitung,Für Fragen die ich nicht im Klassenraum stellen wollte",4.0,6,15,Schlechtes Verständnis,False,False,True,True,False,False
46,Weiblich,15,Sek A,"Englisch, Geschichte, Religion und Kultur","Mathematik / Geometrie, Französisch, Informatik",2-5 Stunden pro Woche,Obligatorische Schule,Obligatorische Schule,0,2,"ChatGPT,My AI (Snapchat)",Selten,Nie,,Teils/teils,Eher schlecht,Eher wenig,Schlechtes Verständnis,Kein Verständnis,Schlechtes Verständnis,Gutes Verständnis,Kein Verständnis,Völliges Verständnis,Falsch,Ich weiss es nicht,Ich verstehe die Frage nicht,Ich weiss es nicht,Ich weiss es nicht,Falsch,3,Ich habe darüber noch nie nachgedacht.,Neutral / Mir egal,Stört mich ein wenig,Manchmal,Nur wenn die Lehrperson es ausdrücklich erlaubt,Selten,"Mathematik, Deutsch, Französisch","Erklärungen,Vorbereiten von Vorträgen,Grammatik / Rechtschreibung","weniger Stress,Für Fragen die ich nicht im Klassenraum stellen wollte",4.0,2,15,Schlechtes Verständnis,False,False,True,True,False,False
47,Männlich,15,Sek A,"Geschichte, Sport, Musik","Biologie, Chemie, Physik",2-5 Stunden pro Woche,Abschluss an einer Universität oder ETH,Abschluss an einer Universität / ETH,1,5,"ChatGPT,Microsoft Copilot",Manchmal,Sehr oft,"Verständnisfragen über Wissen im Alltag,Private Fragen zu persönlichen Themen",Sehr nützlich,Sehr gut,Sehr gut,Mittelmässiges Verständnis,Schlechtes Verständnis,Schlechtes Verständnis,Völliges Verständnis,Völliges Verständnis,Völliges Verständnis,Falsch,Falsch,Ich weiss es nicht,Wahr,Wahr,Falsch,4,Nein,Neutral / Mir egal,Stört mich sehr,Oft,Nur wenn die Lehrperson es ausdrücklich erlaubt,Manchmal,,"Zusammenfassungen,Erklärungen,Schreiben von Texten,Ideenfindung / Kreative Ideen,Vorbereiten von Vorträgen,Grammatik / Rechtschreibung","Zeitersparnis,weniger Stress,Als Prüfungsvorbereitung",4.0,4,22,Gutes Verständnis,False,True,False,False,False,True
48,Männlich,15,Sek A,"Informatik, Sport, Handarbeit / Werken","Mathematik / Geometrie, Französisch, Geografie",2-5 Stunden pro Woche,Ich weiss es nicht,Ich weiss es nicht,2,4,Aria (Opera Browser AI),Selten,Oft,"Verständnisfragen über Wissen im Alltag,Private Fragen zu persönlichen Themen",Ziemlich nützlich,Eher gut,Eher wenig,Mittelmässiges Verständnis,Schlechtes Verständnis,Schlechtes Verständnis,Gutes Verständnis,Kein Verständnis,Schlechtes Verständnis,Falsch,Ich weiss es nicht,Falsch,Wahr,Wahr,Falsch,4,Ja,Stört mich ein wenig,Stört mich sehr,Oft,Nur wenn die Lehrperson es ausdrücklich erlaubt,Selten,"Deutsch, Französisch, Englisch",Erklärungen,"weniger Stress,Bessere Erklärungen als von den Lehrern",4.0,4,14,Schlechtes Verständnis,False,True,False,False,True,False
49,Weiblich,14,Sek A,"Mathematik / Geometrie, Physik, Handarbeit / Werken","Englisch, Geschichte, Informatik",Mehr als 5 Stunden pro Woche,Matura,Matura,2,2,ChatGPT,Nie,Selten,Verständnisfragen über Wissen im Alltag,Teils/teils,Weder gut noch schlecht,Weder gut noch schlecht,Kein Verständnis,Kein Verständnis,Kein Verständnis,Gutes Verständnis,Kein Verständnis,Kein Verständnis,Falsch,Ich weiss es nicht,Ich weiss es nicht,Ich weiss es nicht,Ich weiss es nicht,Wahr,3,Ich habe darüber noch nie nachgedacht.,Neutral / Mir egal,Stört mich ein wenig,Oft,"Nein, weder für die Schule noch für die Hausaufgaben",Nie,,,,,1,9,Kein Verständnis,False,False,True,True,False,False
50,Weiblich,14,Sek A,"Englisch, Zeichnen / Kunst, Musik","Mathematik / Geometrie, Geografie",2-5 Stunden pro Woche,Ich weiss es nicht,Ich weiss es nicht,0,2,ChatGPT,Selten,Manchmal,Verständnisfragen über Wissen im Alltag,Teils/teils,Eher schlecht,Weder gut noch schlecht,Mittelmässiges Verständnis,Schlechtes Verständnis,Gutes Verständnis,Völliges Verständnis,Schlechtes Verständnis,Schlechtes Verständnis,Ich weiss es nicht,Falsch,Ich verstehe die Frage nicht,Wahr,Falsch,Wahr,3,Ich habe darüber noch nie nachgedacht.,Neutral / Mir egal,Neutral / Mir egal,Manchmal,Nur wenn die Lehrperson es ausdrücklich erlaubt,Selten,Deutsch,Erklärungen,Zeitersparnis,2.0,1,18,Mittelmässiges Verständnis,False,False,True,True,False,False
51,Männlich,14,Sek A,"Englisch, Religion und Kultur, Sport","Mathematik / Geometrie, Deutsch, Französisch",0-1 Stunde pro Woche,Ich weiss es nicht,Ich weiss es nicht,0,4,ChatGPT,Manchmal,Oft,"Erstellen von Bildern / Videos,Verständnisfragen über Wissen im Alltag",Sehr nützlich,Sehr gut,Sehr gut,Kein Verständnis,Kein Verständnis,Kein Verständnis,Völliges Verständnis,Kein Verständnis,Kein Verständnis,Wahr,Wahr,Ich weiss es nicht,Wahr,Ich weiss es nicht,Ich weiss es nicht,5,Ich habe darüber noch nie nachgedacht.,Neutral / Mir egal,Stört mich ein wenig,Oft,Nur wenn die Lehrperson es ausdrücklich erlaubt,Manchmal,"Deutsch, Geschichte","Zusammenfassungen,Erklärungen,Schreiben von Texten,Lerntechniken / Tipps wie man lernt,Vorbereiten von Vorträgen,Grammatik / Rechtschreibung",weniger Stress,4.0,0,10,Kein Verständnis,False,True,False,True,False,False
52,Weiblich,14,Sek A,"Mathematik / Geometrie, Französisch, Sport","Physik, Biologie, Englisch",0-1 Stunde pro Woche,Abschluss an einer Fachhochschule / Hochschule,Abschluss an einer Universität / ETH,2,4,ChatGPT,Manchmal,Manchmal,Verständnisfragen über Wissen im Alltag,Ziemlich nützlich,Eher gut,Eher wenig,Schlechtes Verständnis,Kein Verständnis,Mittelmässiges Verständnis,Völliges Verständnis,Gutes Verständnis,Mittelmässiges Verständnis,Falsch,Falsch,Ich weiss es nicht,Wahr,Wahr,Ich weiss es nicht,4,Ja,Finde ich gut,Stört mich ein wenig,Manchmal,Nur für Hausaufgaben,Häufig,"Mathematik, Deutsch, Englisch","Erklärungen,Schreiben von Texten,Vorbereiten von Vorträgen,Erstellen von Lernplänen","Als Prüfungsvorbereitung,Bessere Erklärungen als von den Lehrern",5.0,3,18,Mittelmässiges Verständnis,False,False,True,False,True,False
53,Weiblich,14,Sek A,"Französisch, Sport, Handarbeit / Werken","Geografie, Zeichnen / Kunst, Musik",2-5 Stunden pro Woche,Berufsabschluss,Berufsabschluss,2,1,,,,,,Weder gut noch schlecht,Weder gut noch schlecht,Kein Verständnis,Kein Verständnis,Gutes Verständnis,Gutes Verständnis,Völliges Verständnis,Völliges Verständnis,Falsch,Falsch,Falsch,Falsch,Wahr,Falsch,3,Ich habe darüber noch nie nachgedacht.,Stört mich ein wenig,Stört mich sehr,Oft,Nur wenn die Lehrperson es ausdrücklich erlaubt,Nie,,,,,6,20,Mittelmässiges Verständnis,False,False,True,True,False,False
54,Weiblich,15,Sek A,"Kochen, Handarbeit / Werken","Französisch, Geografie, Physik",Mehr als 5 Stunden pro Woche,Abschluss an einer Fachhochschule / Hochschule,Abschluss an einer Hochschule / Fachhochschule,3,2,"ChatGPT,Gemini (Google),Meta AI (Whatsapp)",Selten,Selten,Verständnisfragen über Wissen im Alltag,Ziemlich nützlich,Weder gut noch schlecht,Eher gut,Schlechtes Verständnis,Schlechtes Verständnis,Schlechtes Verständnis,Gutes Verständnis,Schlechtes Verständnis,Schlechtes Verständnis,Falsch,Ich weiss es nicht,Ich weiss es nicht,Wahr,Ich weiss es nicht,Falsch,3,Ich habe darüber noch nie nachgedacht.,Neutral / Mir egal,Stört mich ein wenig,Manchmal,Nur für Hausaufgaben,Selten,"Französisch, Chemie","Erklärungen,Schreiben von Texten,Vorbereiten von Vorträgen","Zeitersparnis,weniger Stress",4.0,2,14,Schlechtes Verständnis,False,False,True,True,False,False
55,Männlich,15,Sek A,"Englisch, Kochen, Sport","Mathematik / Geometrie, Deutsch, Französisch",2-5 Stunden pro Woche,Ich weiss es nicht,Ich weiss es nicht,1,4,ChatGPT,Manchmal,Selten,Verständnisfragen über Wissen im Alltag,Sehr nützlich,Eher gut,Gar nicht,Kein Verständnis,Kein Verständnis,Völliges Verständnis,Gutes Verständnis,Schlechtes Verständnis,Mittelmässiges Verständnis,Wahr,Ich weiss es nicht,Ich weiss es nicht,Wahr,Ich weiss es nicht,Wahr,4,Nein,Neutral / Mir egal,Stört mich sehr,Oft,Nur wenn die Lehrperson es ausdrücklich erlaubt,Häufig,"Mathematik, Deutsch","Zusammenfassungen,Erklärungen,Grammatik / Rechtschreibung","Zeitersparnis,weniger Stress,Bessere Erklärungen als von den Lehrern",4.0,0,16,Mittelmässiges Verständnis,False,True,False,False,False,True
56,Männlich,14,Sek A,"Mathematik / Geometrie, Englisch, Sport","Französisch, Biologie, Religion und Kultur",2-5 Stunden pro Woche,Berufsabschluss,Berufsabschluss,1,4,ChatGPT,Manchmal,Selten,Verständnisfragen über Wissen im Alltag,Ziemlich nützlich,Eher gut,Gar nicht,Kein Verständnis,Kein Verständnis,Gutes Verständnis,Völliges Verständnis,Kein Verständnis,Mittelmässiges Verständnis,Falsch,Wahr,Falsch,Falsch,Wahr,Ich weiss es nicht,3,Ich habe darüber noch nie nachgedacht.,Stört mich ein wenig,Stört mich sehr,Oft,"Ja, für beides",Manchmal,"Chemie, Biologie, Physik","Zusammenfassungen,Erklärungen,Grammatik / Rechtschreibung",Als Prüfungsvorbereitung,4.0,4,15,Schlechtes Verständnis,False,True,False,True,False,False
57,Weiblich,14,Sek A,"Deutsch, Zeichnen / Kunst, Musik","Französisch, Biologie, Geografie",2-5 Stunden pro Woche,Berufsabschluss,Berufsabschluss,1,4,ChatGPT,Selten,Oft,Verständnisfragen über Wissen im Alltag,Teils/teils,Weder gut noch schlecht,Eher gut,Gutes Verständnis,Kein Verständnis,Kein Verständnis,Gutes Verständnis,Gutes Verständnis,Völliges Verständnis,Falsch,Falsch,Falsch,Falsch,Wahr,Falsch,3,Ja,Stört mich ein wenig,Stört mich ein wenig,Manchmal,Nur wenn die Lehrperson es ausdrücklich erlaubt,Selten,"Mathematik, Französisch","Erklärungen,Grammatik / Rechtschreibung",Als Prüfungsvorbereitung,2.0,6,19,Mittelmässiges Verständnis,False,False,True,False,True,False
58,Männlich,14,Sek A,"Kochen, Sport","Englisch, Französisch",2-5 Stunden pro Woche,Ich weiss es nicht,Ich weiss es nicht,3,3,ChatGPT,Manchmal,Selten,Verständnisfragen über Wissen im Alltag,Teils/teils,Weder gut noch schlecht,Eher gut,Mittelmässiges Verständnis,Schlechtes Verständnis,Kein Verständnis,Völliges Verständnis,Gutes Verständnis,Völliges Verständnis,Falsch,Falsch,Falsch,Wahr,Wahr,Wahr,3,Ich habe darüber noch nie nachgedacht.,Neutral / Mir egal,Stört mich sehr,Oft,"Ja, für beides",Manchmal,"Deutsch, Geschichte","Erklärungen,Grammatik / Rechtschreibung",Zeitersparnis,3.0,4,20,Mittelmässiges Verständnis,False,True,False,True,False,False
59,Männlich,14,Sek A,"Mathematik / Geometrie, Sport, Handarbeit / Werken",Französisch,2-5 Stunden pro Woche,Abschluss an einer Universität oder ETH,Abschluss an einer Universität / ETH,2,2,ChatGPT,Selten,Nie,,Wenig nützlich,Eher schlecht,Weder gut noch schlecht,Kein Verständnis,Kein Verständnis,Schlechtes Verständnis,Gutes Verständnis,Mittelmässiges Verständnis,Mittelmässiges Verständnis,Falsch,Falsch,Falsch,Falsch,Wahr,Wahr,3,Ja,Neutral / Mir egal,Neutral / Mir egal,Oft,Nur wenn die Lehrperson es ausdrücklich erlaubt,Selten,Berufsorientierung,Grammatik / Rechtschreibung,Hilfe bei Bewerbungen,3.0,5,14,Schlechtes Verständnis,False,True,False,False,True,False
60,Weiblich,14,Sek A,"Biologie, Chemie, Physik",Informatik,Mehr als 5 Stunden pro Woche,Matura,Berufsabschluss,2,3,ChatGPT,Selten,Manchmal,Verständnisfragen über Wissen im Alltag,Ziemlich nützlich,Weder gut noch schlecht,Weder gut noch schlecht,Kein Verständnis,Kein Verständnis,Schlechtes Verständnis,Völliges Verständnis,Kein Verständnis,Mittelmässiges Verständnis,Falsch,Ich weiss es nicht,Falsch,Wahr,Wahr,Ich weiss es nicht,3,Nein,Neutral / Mir egal,Stört mich ein wenig,Manchmal,Nur wenn die Lehrperson es ausdrücklich erlaubt,Manchmal,"Französisch, Biologie, Geschichte","Erklärungen,Grammatik / Rechtschreibung","Für Fragen die ich nicht im Klassenraum stellen wollte,Bessere Erklärungen als von den Lehrern",3.0,3,13,Schlechtes Verständnis,False,False,True,False,False,True
61,Weiblich,14,Sek A,"Mathematik / Geometrie, Zeichnen / Kunst, Musik",Geografie,2-5 Stunden pro Woche,Abschluss an einer Fachhochschule / Hochschule,Abschluss an einer Universität / ETH,1,3,ChatGPT,Nie,Manchmal,Verständnisfragen über Wissen im Alltag,Ziemlich nützlich,Weder gut noch schlecht,Weder gut noch schlecht,Kein Verständnis,Kein Verständnis,Schlechtes Verständnis,Völliges Verständnis,Mittelmässiges Verständnis,Gutes Verständnis,Falsch,Falsch,Falsch,Falsch,Wahr,Falsch,3,Ja,Neutral / Mir egal,Stört mich ein wenig,Manchmal,Nur wenn die Lehrperson es ausdrücklich erlaubt,Selten,"Deutsch, Berufsorientierung",Grammatik / Rechtschreibung,Zeitersparnis,3.0,6,16,Mittelmässiges Verständnis,False,False,True,False,True,False
